Milliseconds per frame: 18.815
event_index,call_type,call_type_index,render_call_number,gpu_time_ms
2,glClear,0,0,0.021
8,glDrawArrays,0,1,0.019
20,glDrawArrays,1,2,0.063
27,glDrawArrays,2,3,0.175
34,glDrawArrays,3,4,0.174
41,glDrawArrays,4,5,0.174
48,glDrawArrays,5,6,0.174
55,glDrawArrays,6,7,0.174
62,glDrawArrays,7,8,0.175
69,glDrawArrays,8,9,0.174
76,glDrawArrays,9,10,0.175
83,glDrawArrays,10,11,0.174
90,glDrawArrays,11,12,0.174
97,glDrawArrays,12,13,0.174
104,glDrawArrays,13,14,0.175
111,glDrawArrays,14,15,0.175
118,glDrawArrays,15,16,0.069
125,glDrawArrays,16,17,0.067
132,glDrawArrays,17,18,0.069
139,glDrawArrays,18,19,0.067
146,glDrawArrays,19,20,0.069
153,glDrawArrays,20,21,0.068
160,glDrawArrays,21,22,0.070
167,glDrawArrays,22,23,0.067
176,glClear,1,24,0.011
177,glDrawArrays,23,25,0.076
